Location,Bedroom,Total-Sqft,Bathroom,Price,Condition
Alba,1,700,1,153200.00,good
Alma,1,800,1,110500.00,good
Alto,1,650,1,183200.00,good
Alvord,1,700,1,156100.00,good
Annetta,1,800,1,106000.00,good
Annetta North,1,650,1,197200.00,good
Annetta South,1,700,1,197200.00,good
Annona,1,800,1,75200.00,good
Anthony,1,800,1,170000.00,good
Aspermont,1,800,1,199000.00,good
Avery,1,800,1,150000.00,good
Avinger,1,650,1,150000.00,good
Bartonville,1,700,1,200000.00,good
Bayside,1,800,1,250000.00,good
Bayview,1,800,1,300000.00,good
Bells,1,800,1,200000.00,good
Berryville,1,650,1,100000.00,good
Big Sandy,1,700,1,250000.00,good
Bishop Hills,1,800,1,300000.00,good
Blanket,1,800,1,300000.00,good
Bloomburg,1,800,1,100000.00,good
Blooming Grove,1,800,1,100000.00,good
Blum,1,650,1,200000.00,good
Booker,1,700,1,200000.00,good
Boyd,1,650,1,250000.00,good
Broaddus,1,700,1,250000.00,good
Bronte,1,800,1,150000.00,good
Buckholts,1,800,1,150000.00,good
Buffalo Gap,1,800,1,200000.00,good
Bullard,1,650,1,150000.00,good
Bynum,1,700,1,150000.00,good
Caney City,1,800,1,150000.00,good
Carbon,1,800,1,150000.00,good
Carl's Corner,1,800,1,200000.00,good
Chester,1,800,1,100000.00,good
China Grove,1,800,1,150000.00,good
Christine,1,800,1,100000.00,good
Clint,1,800,1,150000.00,good
Coahoma,1,650,1,62560.00,good
Coffee City,1,700,1,150000.00,good
Collinsville,1,650,1,237460.00,good
Combes,1,700,1,100000.00,good
Como,1,800,1,280000.00,good
Coolidge,1,800,1,150000.00,good
Copper Canyon,1,800,1,150000.00,good
Corrigan,1,650,1,150000.00,good
Crawford,1,700,1,150000.00,good
Cross Plains,1,800,1,150000.00,Normal
Cross Roads,1,800,1,150000.00,Normal
Cross Timber,1,800,1,150000.00,old
Cuney,1,800,1,150000.00,good
Darrouzett,1,800,1,150000.00,good
Dawson,1,800,1,244135.00,old
Dennis,1,800,1,150000.00,Normal
Denver City,1,650,1,150000.00,Normal
Detroit,1,700,1,150000.00,good
DISH,1,650,1,296122.00,good
Dodd City,1,700,1,150000.00,good
Dodson,1,800,1,100000.00,good
Domino,1,800,1,150000.00,good
Double Oak,1,800,1,150000.00,good
Douglassville,1,650,1,150000.00,good
Draper,1,700,1,150000.00,good
Edgecliff Village,1,800,1,150000.00,good
Edgewood,1,800,1,150000.00,good
Edmonson,1,800,1,150000.00,good
Elkhart,1,800,1,150000.00,good
Emhouse,1,800,1,150000.00,good
Enchanted Oaks,1,800,1,150000.00,good
Estelline,1,800,1,150000.00,good
Evant,1,800,1,150000.00,good
Fairview,1,650,1,150000.00,good
Flatonia,1,700,1,150000.00,good
Flower Mound,1,650,1,150000.00,good
Frankston,1,700,1,339863.00,good
Fulton,1,800,1,150000.00,good
Garrett,1,800,1,150000.00,good
Grandfalls,1,800,1,150000.00,good
Groom,1,650,1,300000.00,good
Gustine,1,700,1,150000.00,good
Hackberry,1,800,1,300000.00,good
Happy,1,800,1,150000.00,good
Hebron,1,800,1,150000.00,good
Hickory Creek,1,800,1,150000.00,good
Highland Park,1,800,1,150000.00,good
Holiday Lakes,1,650,1,150000.00,good
Holland,1,700,1,150000.00,good
Hollywood Park,1,650,1,150000.00,good
Howe,1,700,1,150000.00,good
Impact,1,800,1,150000.00,good
Indian Lake,1,800,1,150000.00,good
Italy,1,800,1,150000.00,good
Kenefick,1,650,1,150000.00,good
Kirvin,1,700,1,150000.00,good
Kosse,1,800,1,150000.00,good
Kurten,1,800,1,294658.00,good
Ladonia,1,800,1,150000.00,good
Laguna Vista,1,800,1,150000.00,good
Lake City,1,800,1,100000.00,good
Lakeside,1,800,1,150000.00,good
Lakeside,1,800,1,100000.00,good
Lakeside City,1,650,1,150000.00,good
Lakeview,1,700,1,150000.00,Normal
Lawn,1,650,1,150000.00,Normal
Lefors,1,700,1,150000.00,old
Lexington,1,800,1,150000.00,good
Livingston,1,800,1,150000.00,good
Lockney,1,800,1,150000.00,old
Loraine,1,650,1,150000.00,Normal
Los Indios,1,700,1,150000.00,Normal
Mabank,1,800,1,150000.00,good
Malone,1,800,1,100000.00,good
Marietta,1,800,1,150000.00,good
Matador,1,800,1,150000.00,good
McLean,1,800,1,150000.00,good
Meadow,1,650,1,100000.00,good
Megargel,1,700,1,150000.00,good
Melvin,1,650,1,100000.00,good
Merkel,1,700,1,150000.00,good
Mertens,1,800,1,150000.00,good
Mildred,1,800,1,150000.00,good
Milford,1,800,1,150000.00,good
Miller's Cove,1,650,1,150000.00,good
Millsap,1,700,1,300000.00,good
Moulton,1,800,1,100000.00,good
Mount Vernon,1,800,1,100000.00,good
Mullin,1,800,1,300000.00,good
Mustang,1,800,1,100000.00,good
Navarro,1,800,1,100000.00,good
New Deal,1,800,1,100000.00,good
New Hope,1,650,1,150000.00,good
Neylandville,1,700,1,65920.00,good
Normangee,1,650,1,150000.00,good
Northlake,1,700,1,150000.00,good
Oak Grove,1,800,1,150000.00,good
Oak Ridge,1,800,1,100000.00,good
Oak Ridge,1,800,1,150000.00,good
Oak Valley,1,650,1,150000.00,good
Oakwood,1,700,1,150000.00,good
Opdyke West,1,800,1,150000.00,good
Paducah,1,800,1,150000.00,good
Paint Rock,1,800,1,100000.00,good
Palmer,1,800,1,150000.00,good
Panhandle,1,650,1,150000.00,good
Pantego,1,700,1,100000.00,good
Payne Springs,1,650,1,200000.00,good
Peaster,1,700,1,150000.00,good
Penelope,1,800,1,100000.00,good
Pine Island,1,800,1,150000.00,good
Plains,1,800,1,100000.00,good
Pleasant Valley,1,650,1,150000.00,good
Poetry,1,700,1,150000.00,good
Ponder,1,800,1,150000.00,good
Post Oak Bend City,1,800,1,100000.00,good
Poth,1,800,1,200000.00,good
Pottsboro,1,800,1,100000.00,good
Powell,1,650,1,200000.00,good
Poynor,1,700,1,100000.00,Normal
Primera,1,650,1,200000.00,Normal
Prosper,1,700,1,150000.00,old
Providence Village,1,800,1,100000.00,good
Putnam,1,800,1,100000.00,good
Pyote,1,800,1,150000.00,old
Quintana,1,650,1,200000.00,Normal
Rancho Viejo,1,700,1,100000.00,Normal
Ransom Canyon,1,800,1,100000.00,good
Refugio,1,800,1,100000.00,good
